Title,Genres,Score,Popularity,Year
Fate/stay night [Heaven's Feel] III. spring song,"Action, Drama, Fantasy, Psychological, Supernatural, Thriller",85.0,95007,2020
Hatena☆Illusion,"Comedy, Romance, Supernatural",50.0,12861,2020
Entotsu-machi no Poupelle,Fantasy,59.0,2787,2020
Hizukuri,"Adventure, Fantasy, Sci-Fi",,2470,2020
22/7,"Drama, Music",64.0,17354,2020
Made in Abyss: Fukaki Tamashii no Reimei,"Action, Adventure, Drama, Fantasy, Horror, Mystery, Psychological, Sci-Fi",85.0,130668,2020
Plunderer,"Action, Adventure, Comedy, Drama, Ecchi, Fantasy, Romance",62.0,107855,2020
pet,"Drama, Psychological, Supernatural",59.0,28943,2020
Majutsushi Orphen Hagure Tabi,"Action, Adventure, Fantasy",55.0,19524,2020
High School Fleet Movie,"Action, Comedy",73.0,5905,2020
SHIROBAKO Movie,"Comedy, Drama, Slice of Life",76.0,17689,2020
BanG Dream! 3rd Season,"Comedy, Music, Slice of Life",78.0,13273,2020
Violet Evergarden Movie,"Drama, Fantasy, Slice of Life",87.0,156034,2020
IDOLiSH7: Second BEAT!,"Comedy, Drama, Music, Psychological",81.0,10094,2020
Strike Witches: Dai-501 Tougou Sentou Koukuudan ROAD to BERLIN,"Action, Ecchi, Sci-Fi",71.0,8195,2020
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot - Wandering; Agateram,"Action, Fantasy",68.0,29639,2020
Sexfriend Gakuen,Hentai,48.0,1359,2020
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden,"Drama, Mahou Shoujo, Mystery, Psychological, Thriller",65.0,47613,2020
Gochuumon wa Usagi desu ka? BLOOM,"Comedy, Slice of Life",78.0,19227,2020
Oshi ga Budoukan Ittekuretara Shinu,"Comedy, Music, Slice of Life",72.0,16483,2020
Heya Camp△,"Comedy, Slice of Life",72.0,29530,2020
Toaru Kagaku no Railgun T,"Action, Sci-Fi",81.0,60265,2020
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta…,"Comedy, Fantasy, Romance, Slice of Life",73.0,119744,2020
Kud Wafter,"Drama, Romance, Supernatural",69.0,6411,2020
Boku no Tonari ni Ankoku Hakaishin ga Imasu.,"Comedy, Slice of Life",61.0,18140,2020
Lapis Re:LiGHTs,"Fantasy, Music",63.0,16211,2020
Darwin's Game,"Action, Mystery, Sci-Fi, Thriller",70.0,144530,2020
Dorohedoro,"Action, Adventure, Comedy, Fantasy, Horror, Mystery",79.0,141851,2020
Tsukiuta. THE ANIMATION 2,Music,62.0,2290,2020
Koukaku Kidoutai: SAC_2045,"Action, Mystery, Sci-Fi",62.0,11043,2020
"Hachi-nan tte, Sore wa Nai deshou!","Adventure, Fantasy",61.0,62599,2020
